replicate,rank,top-1320 model,top-1320 acquired
1,0,0.1962121212121212,0.0022727272727272726
1,1,0.18106060606060606,0.013636363636363636
1,2,0.17196969696969697,0.025
1,3,0.19924242424242425,0.030303030303030304
1,4,0.24166666666666667,0.04242424242424243
1,5,0.23257575757575757,0.05303030303030303
2,0,0.14772727272727273,0.0022727272727272726
2,1,0.27575757575757576,0.010606060606060607
2,2,0.20303030303030303,0.020454545454545454
2,3,0.20606060606060606,0.03333333333333333
2,4,0.22424242424242424,0.04318181818181818
2,5,0.2159090909090909,0.05454545454545454
3,0,0.10984848484848485,0.0022727272727272726
3,1,0.21818181818181817,0.004545454545454545
3,2,0.23787878787878788,0.013636363636363636
3,3,0.23787878787878788,0.02196969696969697
3,4,0.3037878787878788,0.03257575757575758
3,5,0.28939393939393937,0.041666666666666664
4,0,0.1340909090909091,0.0022727272727272726
4,1,0.13787878787878788,0.008333333333333333
4,2,0.14924242424242423,0.012878787878787878
4,3,0.2340909090909091,0.01893939393939394
4,4,0.2409090909090909,0.029545454545454545
4,5,0.24696969696969698,0.04015151515151515
5,0,0.09015151515151515,0.0022727272727272726
5,1,0.0659090909090909,0.0030303030303030303
5,2,0.12803030303030302,0.005303030303030303
5,3,0.1393939393939394,0.010606060606060607
5,4,0.1393939393939394,0.016666666666666666
5,5,0.14393939393939395,0.026515151515151516
6,0,0.1643939393939394,0.0022727272727272726
6,1,0.11136363636363636,0.005303030303030303
6,2,0.11136363636363636,0.012878787878787878
6,3,0.16590909090909092,0.01818181818181818
6,4,0.15757575757575756,0.03106060606060606
6,5,0.13863636363636364,0.04015151515151515
7,0,0.09015151515151515,0.0022727272727272726
7,1,0.09242424242424242,0.006818181818181818
7,2,0.1462121212121212,0.011363636363636364
7,3,0.1340909090909091,0.016666666666666666
7,4,0.13863636363636364,0.025757575757575757
7,5,0.13106060606060607,0.03257575757575758
8,0,0.13636363636363635,0.0022727272727272726
8,1,0.11060606060606061,0.012121212121212121
8,2,0.13257575757575757,0.013636363636363636
8,3,0.1803030303030303,0.01893939393939394
8,4,0.19090909090909092,0.023484848484848483
8,5,0.1856060606060606,0.025
9,0,0.07575757575757576,0.0022727272727272726
9,1,0.059848484848484845,0.0030303030303030303
9,2,0.02803030303030303,0.003787878787878788
9,3,0.04090909090909091,0.005303030303030303
9,4,0.045454545454545456,0.006818181818181818
9,5,0.04621212121212121,0.007575757575757576
10,0,0.15454545454545454,0.0022727272727272726
10,1,0.10757575757575757,0.006818181818181818
10,2,0.12348484848484849,0.014393939393939395
10,3,0.13863636363636364,0.014393939393939395
10,4,0.11893939393939394,0.021212121212121213
10,5,0.16666666666666666,0.02727272727272727
11,0,0.175,0.0022727272727272726
11,1,0.10984848484848485,0.003787878787878788
11,2,0.11136363636363636,0.007575757575757576
11,3,0.16742424242424242,0.015151515151515152
11,4,0.1734848484848485,0.02878787878787879
11,5,0.21742424242424244,0.04090909090909091
12,0,0.10681818181818181,0.0022727272727272726
12,1,0.021212121212121213,0.0030303030303030303
12,2,0.02878787878787879,0.004545454545454545
12,3,0.06818181818181818,0.005303030303030303
12,4,0.08409090909090909,0.005303030303030303
12,5,0.11212121212121212,0.008333333333333333
13,0,0.1303030303030303,0.0022727272727272726
13,1,0.09848484848484848,0.008333333333333333
13,2,0.09848484848484848,0.010606060606060607
13,3,0.10075757575757575,0.01893939393939394
13,4,0.1143939393939394,0.025
