replicate,rank,top-1320 model,top-1320 acquired
12,5,0.18257575757575759,0.03409090909090909
13,0,0.0803030303030303,0.0
13,1,0.09015151515151515,0.0007575757575757576
13,2,0.10454545454545454,0.003787878787878788
13,3,0.15227272727272728,0.006818181818181818
13,4,0.23636363636363636,0.014393939393939395
13,5,0.1643939393939394,0.023484848484848483
14,0,0.017424242424242425,0.0
14,1,0.048484848484848485,0.0
14,2,0.045454545454545456,0.0007575757575757576
14,3,0.04621212121212121,0.0022727272727272726
14,4,0.07348484848484849,0.0030303030303030303
14,5,0.1431818181818182,0.004545454545454545
15,0,0.0946969696969697,0.0
15,1,0.1,0.005303030303030303
15,2,0.13333333333333333,0.008333333333333333
15,3,0.11515151515151516,0.009848484848484848
15,4,0.10454545454545454,0.015909090909090907
15,5,0.15,0.01893939393939394
16,0,0.06287878787878788,0.0
16,1,0.07954545454545454,0.003787878787878788
16,2,0.075,0.010606060606060607
16,3,0.08863636363636364,0.014393939393939395
16,4,0.09696969696969697,0.016666666666666666
16,5,0.09015151515151515,0.020454545454545454
17,0,0.02727272727272727,0.0
17,1,0.06287878787878788,0.0007575757575757576
17,2,0.06363636363636363,0.004545454545454545
17,3,0.11363636363636363,0.007575757575757576
17,4,0.1340909090909091,0.010606060606060607
17,5,0.13484848484848486,0.015151515151515152
18,0,0.05454545454545454,0.0
18,1,0.031818181818181815,0.0
18,2,0.10909090909090909,0.0
18,3,0.1765151515151515,0.006818181818181818
18,4,0.17954545454545454,0.020454545454545454
18,5,0.1962121212121212,0.03333333333333333
19,0,0.10984848484848485,0.0007575757575757576
19,1,0.14545454545454545,0.0030303030303030303
19,2,0.13787878787878788,0.008333333333333333
19,3,0.125,0.015909090909090907
19,4,0.13560606060606062,0.02196969696969697
19,5,0.15303030303030302,0.025757575757575757
20,0,0.009848484848484848,0.0
20,1,0.035606060606060606,0.0
20,2,0.02878787878787879,0.0015151515151515152
20,3,0.03787878787878788,0.0030303030303030303
20,4,0.04090909090909091,0.004545454545454545
20,5,0.03787878787878788,0.006060606060606061
21,0,0.14242424242424243,0.0
21,1,0.10606060606060606,0.005303030303030303
21,2,0.125,0.005303030303030303
21,3,0.16666666666666666,0.00909090909090909
21,4,0.15454545454545454,0.015151515151515152
21,5,0.15833333333333333,0.01818181818181818
22,0,0.03939393939393939,0.0
22,1,0.07878787878787878,0.0007575757575757576
22,2,0.09696969696969697,0.005303030303030303
22,3,0.1484848484848485,0.010606060606060607
22,4,0.17803030303030304,0.020454545454545454
22,5,0.1787878787878788,0.025
23,0,0.1318181818181818,0.0
23,1,0.19015151515151515,0.003787878787878788
23,2,0.21515151515151515,0.015909090909090907
23,3,0.24924242424242424,0.02803030303030303
23,4,0.2803030303030303,0.038636363636363635
23,5,0.2015151515151515,0.04772727272727273
24,0,0.02196969696969697,0.0
24,1,0.08484848484848485,0.0
24,2,0.10378787878787879,0.0015151515151515152
24,3,0.1,0.005303030303030303
24,4,0.125,0.011363636363636364
24,5,0.11818181818181818,0.015909090909090907
25,0,0.04696969696969697,0.0
25,1,0.07651515151515151,0.0007575757575757576
25,2,0.09696969696969697,0.0007575757575757576
25,3,0.1303030303030303,0.0022727272727272726
25,4,0.1409090909090909,0.006060606060606061
25,5,0.1484848484848485,0.007575757575757576
26,0,0.06363636363636363,0.0
26,1,0.09696969696969697,0.0007575757575757576
26,2,0.13257575757575757,0.007575757575757576
26,3,0.1431818181818182,0.01893939393939394
26,4,0.14166666666666666,0.030303030303030304
26,5,0.15303030303030302,0.037121212121212124
27,0,0.04621212121212121,0.0
27,1,0.026515151515151516,0.0
27,2,0.030303030303030304,0.0007575757575757576
27,3,0.04393939393939394,0.0007575757575757576
27,4,0.03787878787878788,0.003787878787878788
27,5,0.09924242424242424,0.007575757575757576
28,0,0.1053030303030303,0.0
28,1,0.14015151515151514,0.005303030303030303
28,2,0.13560606060606062,0.011363636363636364
28,3,0.12727272727272726,0.01818181818181818
28,4,0.15075757575757576,0.022727272727272728
28,5,0.14545454545454545,0.026515151515151516
29,0,0.05075757575757576,0.0
29,1,0.05075757575757576,0.0007575757575757576
29,2,0.06212121212121212,0.0015151515151515152
29,3,0.12954545454545455,0.003787878787878788
29,4,0.16666666666666666,0.007575757575757576
29,5,0.22121212121212122,0.012121212121212121
30,0,0.10454545454545454,0.0
30,1,0.08484848484848485,0.0030303030303030303
30,2,0.09242424242424242,0.004545454545454545
30,3,0.09545454545454546,0.013636363636363636
30,4,0.12045454545454545,0.021212121212121213
30,5,0.12727272727272726,0.029545454545454545
