replicate,rank,top-1320 model,top-1320 acquired
1,0,0.12348484848484849,0.0007575757575757576
1,1,0.07272727272727272,0.0022727272727272726
1,2,0.08333333333333333,0.003787878787878788
1,3,0.13560606060606062,0.007575757575757576
1,4,0.22045454545454546,0.014393939393939395
1,5,0.20909090909090908,0.025757575757575757
2,0,0.041666666666666664,0.0007575757575757576
2,1,0.15833333333333333,0.0022727272727272726
2,2,0.2106060606060606,0.008333333333333333
2,3,0.19696969696969696,0.019696969696969695
2,4,0.2727272727272727,0.031818181818181815
2,5,0.25,0.04090909090909091
3,0,0.07575757575757576,0.0007575757575757576
3,1,0.05454545454545454,0.0030303030303030303
3,2,0.06212121212121212,0.006060606060606061
3,3,0.059848484848484845,0.008333333333333333
3,4,0.05075757575757576,0.009848484848484848
3,5,0.05454545454545454,0.011363636363636364
4,0,0.07424242424242425,0.0007575757575757576
4,1,0.11060606060606061,0.003787878787878788
4,2,0.15378787878787878,0.006818181818181818
4,3,0.11666666666666667,0.012121212121212121
4,4,0.14166666666666666,0.01818181818181818
4,5,0.13257575757575757,0.024242424242424242
5,0,0.09772727272727273,0.0007575757575757576
5,1,0.1143939393939394,0.004545454545454545
5,2,0.1409090909090909,0.014393939393939395
5,3,0.09621212121212121,0.01893939393939394
5,4,0.13636363636363635,0.026515151515151516
5,5,0.18181818181818182,0.03939393939393939
6,0,0.09166666666666666,0.0007575757575757576
6,1,0.12424242424242424,0.0022727272727272726
6,2,0.13560606060606062,0.008333333333333333
6,3,0.10151515151515152,0.013636363636363636
6,4,0.09696969696969697,0.016666666666666666
6,5,0.18863636363636363,0.01818181818181818
7,0,0.06287878787878788,0.0007575757575757576
7,1,0.059848484848484845,0.0007575757575757576
7,2,0.0696969696969697,0.0015151515151515152
7,3,0.055303030303030305,0.007575757575757576
7,4,0.06136363636363636,0.012121212121212121
7,5,0.055303030303030305,0.014393939393939395
8,0,0.0893939393939394,0.0007575757575757576
8,1,0.10681818181818181,0.0030303030303030303
8,2,0.09696969696969697,0.005303030303030303
8,3,0.07424242424242425,0.008333333333333333
8,4,0.08333333333333333,0.012878787878787878
8,5,0.1,0.019696969696969695
9,0,0.16287878787878787,0.0007575757575757576
9,1,0.12575757575757576,0.010606060606060607
9,2,0.08181818181818182,0.023484848484848483
9,3,0.09015151515151515,0.030303030303030304
9,4,0.1712121212121212,0.038636363636363635
9,5,0.16818181818181818,0.04924242424242424
10,0,0.14166666666666666,0.0007575757575757576
10,1,0.14393939393939395,0.011363636363636364
10,2,0.13484848484848486,0.017424242424242425
10,3,0.14545454545454545,0.026515151515151516
10,4,0.13712121212121212,0.03787878787878788
10,5,0.15151515151515152,0.048484848484848485
11,0,0.05909090909090909,0.0007575757575757576
11,1,0.12803030303030302,0.0015151515151515152
11,2,0.15303030303030302,0.006060606060606061
11,3,0.1462121212121212,0.015909090909090907
11,4,0.1643939393939394,0.019696969696969695
11,5,0.16363636363636364,0.029545454545454545
12,0,0.10757575757575757,0.0007575757575757576
12,1,0.1962121212121212,0.0007575757575757576
12,2,0.23787878787878788,0.012121212121212121
12,3,0.21515151515151515,0.024242424242424242
12,4,0.24924242424242424,0.037121212121212124
12,5,0.23636363636363636,0.04924242424242424
13,0,0.16893939393939394,0.0007575757575757576
13,1,0.23333333333333334,0.010606060606060607
13,2,0.2340909090909091,0.015151515151515152
13,3,0.23030303030303031,0.024242424242424242
13,4,0.22348484848484848,0.038636363636363635
13,5,0.2340909090909091,0.05
14,0,0.07727272727272727,0.0007575757575757576
14,1,0.11060606060606061,0.0015151515151515152
14,2,0.10075757575757575,0.009848484848484848
14,3,0.10227272727272728,0.013636363636363636
14,4,0.15151515151515152,0.02196969696969697
14,5,0.15454545454545454,0.03333333333333333
15,0,0.12727272727272726,0.0007575757575757576
15,1,0.10151515151515152,0.0022727272727272726
15,2,0.14015151515151514,0.006060606060606061
15,3,0.24848484848484848,0.012878787878787878
15,4,0.24242424242424243,0.022727272727272728
15,5,0.22121212121212122,0.031818181818181815
16,0,0.07878787878787878,0.0007575757575757576
16,1,0.05227272727272727,0.0015151515151515152
16,2,0.06515151515151515,0.0022727272727272726
16,3,0.059848484848484845,0.0022727272727272726
16,4,0.06363636363636363,0.0030303030303030303
16,5,0.06212121212121212,0.007575757575757576
17,0,0.13257575757575757,0.0007575757575757576
17,1,0.11969696969696969,0.011363636363636364
17,2,0.24242424242424243,0.015909090909090907
17,3,0.1946969696969697,0.022727272727272728
17,4,0.23863636363636365,0.03484848484848485
17,5,0.20454545454545456,0.04318181818181818
18,0,0.12878787878787878,0.0007575757575757576
18,1,0.05454545454545454,0.003787878787878788
18,2,0.07196969696969698,0.006060606060606061
18,3,0.0893939393939394,0.012121212121212121
18,4,0.07803030303030303,0.014393939393939395
18,5,0.06666666666666667,0.023484848484848483
19,0,0.15378787878787878,0.0007575757575757576
19,1,0.14015151515151514,0.007575757575757576
19,2,0.15454545454545454,0.016666666666666666
19,3,0.1553030303030303,0.024242424242424242
19,4,0.1643939393939394,0.03409090909090909
19,5,0.16590909090909092,0.045454545454545456
20,0,0.06060606060606061,0.0007575757575757576
20,1,0.08181818181818182,0.0015151515151515152
20,2,0.23333333333333334,0.004545454545454545
20,3,0.1946969696969697,0.012121212121212121
20,4,0.15227272727272728,0.021212121212121213
20,5,0.17727272727272728,0.03106060606060606
21,0,0.12348484848484849,0.0007575757575757576
21,1,0.08636363636363636,0.005303030303030303
21,2,0.12424242424242424,0.006818181818181818
21,3,0.14924242424242423,0.011363636363636364
21,4,0.14015151515151514,0.015151515151515152
21,5,0.16893939393939394,0.020454545454545454
22,0,0.09166666666666666,0.0007575757575757576
22,1,0.020454545454545454,0.0030303030303030303
22,2,0.04393939393939394,0.006818181818181818
22,3,0.03636363636363636,0.008333333333333333
22,4,0.04090909090909091,0.009848484848484848
22,5,0.04015151515151515,0.010606060606060607
23,0,0.14393939393939395,0.0007575757575757576
23,1,0.09772727272727273,0.0022727272727272726
23,2,0.09090909090909091,0.0030303030303030303
23,3,0.10227272727272728,0.006818181818181818
23,4,0.09696969696969697,0.009848484848484848
23,5,0.11212121212121212,0.010606060606060607
24,0,0.11287878787878788,0.0007575757575757576
24,1,0.11212121212121212,0.006818181818181818
24,2,0.13333333333333333,0.010606060606060607
24,3,0.07954545454545454,0.01818181818181818
24,4,0.12803030303030302,0.02196969696969697
24,5,0.12727272727272726,0.02727272727272727
25,0,0.15227272727272728,0.0007575757575757576
25,1,0.1159090909090909,0.009848484848484848
25,2,0.12196969696969696,0.014393939393939395
25,3,0.14015151515151514,0.021212121212121213
25,4,0.1303030303030303,0.023484848484848483
25,5,0.15757575757575756,0.02878787878787879
26,0,0.09848484848484848,0.0007575757575757576
26,1,0.1393939393939394,0.010606060606060607
26,2,0.13484848484848486,0.012878787878787878
26,3,0.15454545454545454,0.021212121212121213
26,4,0.18712121212121213,0.029545454545454545
26,5,0.1303030303030303,0.04015151515151515
27,0,0.09393939393939393,0.0007575757575757576
27,1,0.05909090909090909,0.0015151515151515152
27,2,0.08409090909090909,0.0030303030303030303
27,3,0.07424242424242425,0.008333333333333333
27,4,0.07272727272727272,0.011363636363636364
27,5,0.05909090909090909,0.013636363636363636
28,0,0.05,0.0007575757575757576
28,1,0.09545454545454546,0.003787878787878788
28,2,0.03939393939393939,0.003787878787878788
28,3,0.08409090909090909,0.005303030303030303
28,4,0.07196969696969698,0.006818181818181818
28,5,0.0856060606060606,0.011363636363636364
29,0,0.12575757575757576,0.0007575757575757576
29,1,0.20909090909090908,0.007575757575757576
29,2,0.23636363636363636,0.019696969696969695
29,3,0.2681818181818182,0.03257575757575758
